customer_id,acquisition_channel,country,first_purchase,last_purchase,orders,total_revenue,lifetime_months,AOV,purchase_frequency,Historical_CLTV
CUST000001,Instagram,Canada,2023-05-24,2023-05-24,1,579.92,1,579.92,1.0,579.92
CUST000002,Email,USA,2024-03-18,2024-10-12,7,1472.17,8,210.31,0.875,1472.17
CUST000003,Facebook Ads,France,2023-10-21,2023-10-21,1,359.76,1,359.76,1.0,359.76
CUST000004,Facebook Ads,Germany,2023-04-25,2023-12-04,8,1633.92,9,204.24,0.8888888888888888,1633.9199999999998
CUST000005,Instagram,UK,2023-04-13,2023-06-02,2,209.94,3,104.97,0.6666666666666666,209.93999999999997
CUST000006,Referral,Canada,2024-12-20,2024-12-20,1,163.54,1,163.54,1.0,163.54
CUST000007,Organic Search,Australia,2023-03-06,2023-03-06,1,222.77,1,222.77,1.0,222.77
CUST000008,Organic Search,UK,2024-10-17,2024-11-24,2,101.54,2,50.77,1.0,101.54
CUST000009,Instagram,France,2023-06-23,2023-09-23,5,1404.8,4,280.96,1.25,1404.8
CUST000010,Google Ads,Canada,2024-05-18,2024-12-21,8,1959.99,8,244.99875,1.0,1959.99
CUST000011,Email,Germany,2023-08-18,2024-03-23,6,2631.36,8,438.56,0.75,2631.36
CUST000012,Referral,USA,2024-01-23,2024-12-30,10,2397.87,12,239.78699999999998,0.8333333333333334,2397.87
CUST000013,Google Ads,France,2024-04-14,2024-12-14,10,3106.32,9,310.632,1.1111111111111112,3106.32
CUST000014,Instagram,Canada,2023-05-16,2023-05-16,1,86.16,1,86.16,1.0,86.16
CUST000015,Instagram,USA,2024-02-10,2024-04-26,3,1165.46,3,388.4866666666667,1.0,1165.46
CUST000016,Google Ads,Canada,2023-04-24,2023-04-24,1,613.4,1,613.4,1.0,613.4
CUST000017,Facebook Ads,Australia,2024-11-25,2024-12-28,3,1323.55,2,441.18333333333334,1.5,1323.55
CUST000018,Instagram,France,2023-05-26,2024-03-29,9,2845.48,11,316.1644444444444,0.8181818181818182,2845.48
CUST000019,Email,Canada,2024-12-04,2024-12-04,1,300.66,1,300.66,1.0,300.66
CUST000020,Direct,Germany,2023-12-14,2024-01-05,2,733.2199999999999,2,366.60999999999996,1.0,733.2199999999999
