cohort_month_date,cohort_index,retained_users,retention_percentage
2023-01-01,0,159,100.00
2023-01-01,1,69,43.40
2023-01-01,2,83,52.20
2023-01-01,3,57,35.85
2023-01-01,4,52,32.70
2023-01-01,5,36,22.64
2023-01-01,6,41,25.79
2023-01-01,7,28,17.61
2023-01-01,8,24,15.09
2023-01-01,9,21,13.21
2023-01-01,10,11,6.92
2023-01-01,11,10,6.29
2023-01-01,12,5,3.14
2023-01-01,13,4,2.52
2023-01-01,14,3,1.89
2023-01-01,15,2,1.26
2023-01-01,16,2,1.26
2023-01-01,17,2,1.26
2023-01-01,18,1,0.63
2023-02-01,0,541,100.00
2023-02-01,1,277,51.20
2023-02-01,2,238,43.99
2023-02-01,3,216,39.93
2023-02-01,4,156,28.84
2023-02-01,5,134,24.77
2023-02-01,6,104,19.22
2023-02-01,7,73,13.49
2023-02-01,8,69,12.75
2023-02-01,9,60,11.09
2023-02-01,10,46,8.50
2023-02-01,11,29,5.36
2023-02-01,12,25,4.62
2023-02-01,13,17,3.14
2023-02-01,14,10,1.85
2023-02-01,15,13,2.40
2023-02-01,16,8,1.48
2023-02-01,17,8,1.48
2023-02-01,18,4,0.74
2023-02-01,19,4,0.74
2023-02-01,20,4,0.74
2023-02-01,21,2,0.37
2023-02-01,22,3,0.55
2023-03-01,0,851,100.00
2023-03-01,1,411,48.30
2023-03-01,2,409,48.06
2023-03-01,3,317,37.25
2023-03-01,4,251,29.49
2023-03-01,5,194,22.80
2023-03-01,6,140,16.45
2023-03-01,7,121,14.22
2023-03-01,8,83,9.75
2023-03-01,9,70,8.23
2023-03-01,10,56,6.58
2023-03-01,11,40,4.70
2023-03-01,12,38,4.47
2023-03-01,13,31,3.64
2023-03-01,14,23,2.70
2023-03-01,15,15,1.76
2023-03-01,16,15,1.76
2023-03-01,17,11,1.29
2023-03-01,18,7,0.82
2023-03-01,19,9,1.06
2023-03-01,20,5,0.59
2023-03-01,21,5,0.59
2023-04-01,0,797,100.00
2023-04-01,1,406,50.94
2023-04-01,2,382,47.93
2023-04-01,3,306,38.39
2023-04-01,4,253,31.74
2023-04-01,5,194,24.34
2023-04-01,6,156,19.57
2023-04-01,7,126,15.81
2023-04-01,8,96,12.05
2023-04-01,9,81,10.16
2023-04-01,10,59,7.40
2023-04-01,11,53,6.65
2023-04-01,12,39,4.89
2023-04-01,13,29,3.64
2023-04-01,14,31,3.89
2023-04-01,15,27,3.39
2023-04-01,16,19,2.38
2023-04-01,17,16,2.01
2023-04-01,18,13,1.63
2023-04-01,19,10,1.25
2023-04-01,20,9,1.13
2023-05-01,0,888,100.00
2023-05-01,1,451,50.79
2023-05-01,2,425,47.86
2023-05-01,3,317,35.70
2023-05-01,4,265,29.84
2023-05-01,5,215,24.21
2023-05-01,6,158,17.79
2023-05-01,7,138,15.54
2023-05-01,8,111,12.50
2023-05-01,9,73,8.22
2023-05-01,10,73,8.22
2023-05-01,11,49,5.52
2023-05-01,12,45,5.07
2023-05-01,13,34,3.83
2023-05-01,14,28,3.15
2023-05-01,15,18,2.03
2023-05-01,16,17,1.91
2023-05-01,17,15,1.69
2023-05-01,18,10,1.13
2023-05-01,19,9,1.01
2023-06-01,0,791,100.00
2023-06-01,1,380,48.04
2023-06-01,2,391,49.43
2023-06-01,3,277,35.02
2023-06-01,4,228,28.82
2023-06-01,5,182,23.01
2023-06-01,6,156,19.72
2023-06-01,7,128,16.18
2023-06-01,8,110,13.91
2023-06-01,9,86,10.87
2023-06-01,10,66,8.34
2023-06-01,11,50,6.32
2023-06-01,12,38,4.80
2023-06-01,13,42,5.31
2023-06-01,14,25,3.16
2023-06-01,15,26,3.29
2023-06-01,16,16,2.02
2023-06-01,17,17,2.15
2023-06-01,18,16,2.02
2023-07-01,0,886,100.00
2023-07-01,1,425,47.97
2023-07-01,2,443,50.00
2023-07-01,3,300,33.86
2023-07-01,4,249,28.10
2023-07-01,5,211,23.81
2023-07-01,6,160,18.06
2023-07-01,7,117,13.21
2023-07-01,8,93,10.50
2023-07-01,9,87,9.82
2023-07-01,10,67,7.56
2023-07-01,11,60,6.77
2023-07-01,12,38,4.29
2023-07-01,13,43,4.85
2023-07-01,14,28,3.16
2023-07-01,15,22,2.48
2023-07-01,16,30,3.39
2023-07-01,17,16,1.81
2023-08-01,0,837,100.00
2023-08-01,1,430,51.37
2023-08-01,2,427,51.02
2023-08-01,3,352,42.05
2023-08-01,4,267,31.90
2023-08-01,5,210,25.09
2023-08-01,6,183,21.86
2023-08-01,7,141,16.85
2023-08-01,8,114,13.62
2023-08-01,9,94,11.23
2023-08-01,10,78,9.32
2023-08-01,11,43,5.14
2023-08-01,12,42,5.02
2023-08-01,13,31,3.70
2023-08-01,14,26,3.11
2023-08-01,15,24,2.87
2023-08-01,16,21,2.51
2023-09-01,0,851,100.00
2023-09-01,1,439,51.59
2023-09-01,2,390,45.83
2023-09-01,3,332,39.01
2023-09-01,4,264,31.02
2023-09-01,5,197,23.15
2023-09-01,6,172,20.21
2023-09-01,7,132,15.51
2023-09-01,8,110,12.93
2023-09-01,9,74,8.70
2023-09-01,10,81,9.52
2023-09-01,11,61,7.17
2023-09-01,12,44,5.17
2023-09-01,13,36,4.23
2023-09-01,14,27,3.17
2023-09-01,15,20,2.35
2023-10-01,0,833,100.00
2023-10-01,1,423,50.78
2023-10-01,2,384,46.10
2023-10-01,3,316,37.94
2023-10-01,4,237,28.45
2023-10-01,5,189,22.69
2023-10-01,6,169,20.29
2023-10-01,7,128,15.37
2023-10-01,8,103,12.36
2023-10-01,9,78,9.36
2023-10-01,10,64,7.68
2023-10-01,11,58,6.96
2023-10-01,12,42,5.04
2023-10-01,13,31,3.72
2023-10-01,14,29,3.48
2023-11-01,0,835,100.00
2023-11-01,1,459,54.97
2023-11-01,2,413,49.46
2023-11-01,3,338,40.48
2023-11-01,4,273,32.69
2023-11-01,5,210,25.15
2023-11-01,6,178,21.32
2023-11-01,7,136,16.29
2023-11-01,8,119,14.25
2023-11-01,9,93,11.14
2023-11-01,10,74,8.86
2023-11-01,11,59,7.07
2023-11-01,12,49,5.87
2023-11-01,13,44,5.27
2023-12-01,0,792,100.00
2023-12-01,1,415,52.40
2023-12-01,2,383,48.36
2023-12-01,3,302,38.13
2023-12-01,4,263,33.21
2023-12-01,5,193,24.37
2023-12-01,6,162,20.45
2023-12-01,7,139,17.55
2023-12-01,8,103,13.01
2023-12-01,9,81,10.23
2023-12-01,10,50,6.31
2023-12-01,11,53,6.69
2023-12-01,12,40,5.05
2024-01-01,0,825,100.00
2024-01-01,1,405,49.09
2024-01-01,2,427,51.76
2024-01-01,3,321,38.91
2024-01-01,4,265,32.12
2024-01-01,5,212,25.70
2024-01-01,6,147,17.82
2024-01-01,7,131,15.88
2024-01-01,8,105,12.73
2024-01-01,9,89,10.79
2024-01-01,10,73,8.85
2024-01-01,11,63,7.64
2024-02-01,0,811,100.00
2024-02-01,1,420,51.79
2024-02-01,2,407,50.18
2024-02-01,3,318,39.21
2024-02-01,4,237,29.22
2024-02-01,5,212,26.14
2024-02-01,6,166,20.47
2024-02-01,7,115,14.18
2024-02-01,8,107,13.19
2024-02-01,9,83,10.23
2024-02-01,10,65,8.01
2024-03-01,0,826,100.00
2024-03-01,1,424,51.33
2024-03-01,2,418,50.61
2024-03-01,3,317,38.38
2024-03-01,4,244,29.54
2024-03-01,5,191,23.12
2024-03-01,6,144,17.43
2024-03-01,7,126,15.25
2024-03-01,8,92,11.14
2024-03-01,9,75,9.08
2024-04-01,0,801,100.00
2024-04-01,1,418,52.18
2024-04-01,2,401,50.06
2024-04-01,3,325,40.57
2024-04-01,4,273,34.08
2024-04-01,5,229,28.59
2024-04-01,6,191,23.85
2024-04-01,7,142,17.73
2024-04-01,8,133,16.60
2024-05-01,0,830,100.00
2024-05-01,1,388,46.75
2024-05-01,2,428,51.57
2024-05-01,3,311,37.47
2024-05-01,4,235,28.31
2024-05-01,5,215,25.90
2024-05-01,6,143,17.23
2024-05-01,7,126,15.18
2024-06-01,0,839,100.00
2024-06-01,1,414,49.34
2024-06-01,2,395,47.08
2024-06-01,3,285,33.97
2024-06-01,4,254,30.27
2024-06-01,5,201,23.96
2024-06-01,6,159,18.95
2024-07-01,0,847,100.00
2024-07-01,1,435,51.36
2024-07-01,2,381,44.98
2024-07-01,3,327,38.61
2024-07-01,4,261,30.81
2024-07-01,5,205,24.20
2024-08-01,0,891,100.00
2024-08-01,1,436,48.93
2024-08-01,2,471,52.86
2024-08-01,3,346,38.83
2024-08-01,4,258,28.96
2024-09-01,0,818,100.00
2024-09-01,1,425,51.96
2024-09-01,2,399,48.78
2024-09-01,3,301,36.80
2024-10-01,0,842,100.00
2024-10-01,1,407,48.34
2024-10-01,2,396,47.03
2024-11-01,0,856,100.00
2024-11-01,1,436,50.93
2024-12-01,0,829,100.00
