Cohort_Month,cohort_index,active_users
2023-01-01,0,159
2023-01-01,1,69
2023-01-01,2,83
2023-01-01,3,57
2023-01-01,4,52
2023-01-01,5,36
2023-01-01,6,41
2023-01-01,7,28
2023-01-01,8,24
2023-01-01,9,21
2023-01-01,10,11
2023-01-01,11,10
2023-01-01,12,5
2023-01-01,13,4
2023-01-01,14,3
2023-01-01,15,2
2023-01-01,16,2
2023-01-01,17,2
2023-01-01,18,1
2023-02-01,0,541
2023-02-01,1,277
2023-02-01,2,238
2023-02-01,3,216
2023-02-01,4,156
2023-02-01,5,134
2023-02-01,6,104
2023-02-01,7,73
2023-02-01,8,69
2023-02-01,9,60
2023-02-01,10,46
2023-02-01,11,29
2023-02-01,12,25
2023-02-01,13,17
2023-02-01,14,10
2023-02-01,15,13
2023-02-01,16,8
2023-02-01,17,8
2023-02-01,18,4
2023-02-01,19,4
2023-02-01,20,4
2023-02-01,21,2
2023-02-01,22,3
2023-03-01,0,851
2023-03-01,1,411
2023-03-01,2,409
2023-03-01,3,317
2023-03-01,4,251
2023-03-01,5,194
2023-03-01,6,140
2023-03-01,7,121
2023-03-01,8,83
2023-03-01,9,70
2023-03-01,10,56
2023-03-01,11,40
2023-03-01,12,38
2023-03-01,13,31
2023-03-01,14,23
2023-03-01,15,15
2023-03-01,16,15
2023-03-01,17,11
2023-03-01,18,7
2023-03-01,19,9
2023-03-01,20,5
2023-03-01,21,5
2023-04-01,0,797
2023-04-01,1,406
2023-04-01,2,382
2023-04-01,3,306
2023-04-01,4,253
2023-04-01,5,194
2023-04-01,6,156
2023-04-01,7,126
2023-04-01,8,96
2023-04-01,9,81
2023-04-01,10,59
2023-04-01,11,53
2023-04-01,12,39
2023-04-01,13,29
2023-04-01,14,31
2023-04-01,15,27
2023-04-01,16,19
2023-04-01,17,16
2023-04-01,18,13
2023-04-01,19,10
2023-04-01,20,9
2023-05-01,0,888
2023-05-01,1,451
2023-05-01,2,425
2023-05-01,3,317
2023-05-01,4,265
2023-05-01,5,215
2023-05-01,6,158
2023-05-01,7,138
2023-05-01,8,111
2023-05-01,9,73
2023-05-01,10,73
2023-05-01,11,49
2023-05-01,12,45
2023-05-01,13,34
2023-05-01,14,28
2023-05-01,15,18
2023-05-01,16,17
2023-05-01,17,15
2023-05-01,18,10
2023-05-01,19,9
2023-06-01,0,791
2023-06-01,1,380
2023-06-01,2,391
2023-06-01,3,277
2023-06-01,4,228
2023-06-01,5,182
2023-06-01,6,156
2023-06-01,7,128
2023-06-01,8,110
2023-06-01,9,86
2023-06-01,10,66
2023-06-01,11,50
2023-06-01,12,38
2023-06-01,13,42
2023-06-01,14,25
2023-06-01,15,26
2023-06-01,16,16
2023-06-01,17,17
2023-06-01,18,16
2023-07-01,0,886
2023-07-01,1,425
2023-07-01,2,443
2023-07-01,3,300
2023-07-01,4,249
2023-07-01,5,211
2023-07-01,6,160
2023-07-01,7,117
2023-07-01,8,93
2023-07-01,9,87
2023-07-01,10,67
2023-07-01,11,60
2023-07-01,12,38
2023-07-01,13,43
2023-07-01,14,28
2023-07-01,15,22
2023-07-01,16,30
2023-07-01,17,16
2023-08-01,0,837
2023-08-01,1,430
2023-08-01,2,427
2023-08-01,3,352
2023-08-01,4,267
2023-08-01,5,210
2023-08-01,6,183
2023-08-01,7,141
2023-08-01,8,114
2023-08-01,9,94
2023-08-01,10,78
2023-08-01,11,43
2023-08-01,12,42
2023-08-01,13,31
2023-08-01,14,26
2023-08-01,15,24
2023-08-01,16,21
2023-09-01,0,851
2023-09-01,1,439
2023-09-01,2,390
2023-09-01,3,332
2023-09-01,4,264
2023-09-01,5,197
2023-09-01,6,172
2023-09-01,7,132
2023-09-01,8,110
2023-09-01,9,74
2023-09-01,10,81
2023-09-01,11,61
2023-09-01,12,44
2023-09-01,13,36
2023-09-01,14,27
2023-09-01,15,20
2023-10-01,0,833
2023-10-01,1,423
2023-10-01,2,384
2023-10-01,3,316
2023-10-01,4,237
2023-10-01,5,189
2023-10-01,6,169
2023-10-01,7,128
2023-10-01,8,103
2023-10-01,9,78
2023-10-01,10,64
2023-10-01,11,58
2023-10-01,12,42
2023-10-01,13,31
2023-10-01,14,29
2023-11-01,0,835
2023-11-01,1,459
2023-11-01,2,413
2023-11-01,3,338
2023-11-01,4,273
2023-11-01,5,210
2023-11-01,6,178
2023-11-01,7,136
2023-11-01,8,119
2023-11-01,9,93
2023-11-01,10,74
2023-11-01,11,59
2023-11-01,12,49
2023-11-01,13,44
2023-12-01,0,792
2023-12-01,1,415
2023-12-01,2,383
2023-12-01,3,302
2023-12-01,4,263
2023-12-01,5,193
2023-12-01,6,162
2023-12-01,7,139
2023-12-01,8,103
2023-12-01,9,81
2023-12-01,10,50
2023-12-01,11,53
2023-12-01,12,40
2024-01-01,0,825
2024-01-01,1,405
2024-01-01,2,427
2024-01-01,3,321
2024-01-01,4,265
2024-01-01,5,212
2024-01-01,6,147
2024-01-01,7,131
2024-01-01,8,105
2024-01-01,9,89
2024-01-01,10,73
2024-01-01,11,63
2024-02-01,0,811
2024-02-01,1,420
2024-02-01,2,407
2024-02-01,3,318
2024-02-01,4,237
2024-02-01,5,212
2024-02-01,6,166
2024-02-01,7,115
2024-02-01,8,107
2024-02-01,9,83
2024-02-01,10,65
2024-03-01,0,826
2024-03-01,1,424
2024-03-01,2,418
2024-03-01,3,317
2024-03-01,4,244
2024-03-01,5,191
2024-03-01,6,144
2024-03-01,7,126
2024-03-01,8,92
2024-03-01,9,75
2024-04-01,0,801
2024-04-01,1,418
2024-04-01,2,401
2024-04-01,3,325
