order_id,customer_id,transaction_date,product_category,quantity,unit_price,revenue,signup_date,acquisition_channel,country
ORD0000001,CUST000001,24/05/2023,Fashion,4,144.98,579.92,13/04/2023,Instagram,Canada
ORD0000002,CUST000002,18/03/2024,Beauty,3,28.21,84.63,11/3/2024,Email,USA
ORD0000003,CUST000002,9/4/2024,Beauty,4,24.68,98.72,11/3/2024,Email,USA
ORD0000004,CUST000002,5/5/2024,Fashion,2,35.77,71.54,11/3/2024,Email,USA
ORD0000005,CUST000002,20/06/2024,Sports,2,19.67,39.34,11/3/2024,Email,USA
ORD0000006,CUST000002,3/7/2024,Sports,2,249.32,498.64,11/3/2024,Email,USA
ORD0000007,CUST000002,27/08/2024,Fashion,2,102.71,205.42,11/3/2024,Email,USA
ORD0000008,CUST000002,12/10/2024,Beauty,3,157.96,473.88,11/3/2024,Email,USA
ORD0000009,CUST000003,21/10/2023,Sports,3,119.92,359.76,28/09/2023,Facebook Ads,France
ORD0000010,CUST000004,25/04/2023,Electronics,3,14.85,44.55,17/04/2023,Facebook Ads,Germany
ORD0000011,CUST000004,25/05/2023,Fashion,1,131.29,131.29,17/04/2023,Facebook Ads,Germany
ORD0000012,CUST000004,16/07/2023,Beauty,4,157.24,628.96,17/04/2023,Facebook Ads,Germany
ORD0000013,CUST000004,16/08/2023,Books,1,239.6,239.6,17/04/2023,Facebook Ads,Germany
ORD0000014,CUST000004,20/09/2023,Sports,2,90.56,181.12,17/04/2023,Facebook Ads,Germany
ORD0000015,CUST000004,30/10/2023,Home,2,96.35,192.7,17/04/2023,Facebook Ads,Germany
ORD0000016,CUST000004,21/11/2023,Books,3,11.34,34.02,17/04/2023,Facebook Ads,Germany
ORD0000017,CUST000004,4/12/2023,Sports,1,181.68,181.68,17/04/2023,Facebook Ads,Germany
ORD0000018,CUST000005,13/04/2023,Books,2,90.22,180.44,13/03/2023,Instagram,UK
ORD0000019,CUST000005,2/6/2023,Beauty,1,29.5,29.5,13/03/2023,Instagram,UK
ORD0000020,CUST000006,20/12/2024,Electronics,1,163.54,163.54,1/12/2024,Referral,Canada
ORD0000021,CUST000007,6/3/2023,Home,1,222.77,222.77,21/01/2023,Organic Search,Australia
ORD0000022,CUST000008,17/10/2024,Sports,1,32.7,32.7,6/9/2024,Organic Search,UK
ORD0000023,CUST000008,24/11/2024,Electronics,1,68.84,68.84,6/9/2024,Organic Search,UK
ORD0000024,CUST000009,23/06/2023,Electronics,1,231.31,231.31,2/5/2023,Instagram,France
ORD0000025,CUST000009,30/06/2023,Electronics,1,43.73,43.73,2/5/2023,Instagram,France
ORD0000026,CUST000009,22/07/2023,Sports,4,222.95,891.8,2/5/2023,Instagram,France
ORD0000027,CUST000009,25/08/2023,Books,4,30.93,123.72,2/5/2023,Instagram,France
