customer_id,revenue,total_orders,average_order_value,first_purchase,last_purchase,lifespan_days,active_months,monthly_purchase_frequency,cltv
CUST000001,579.92,1,579.92,2023-05-24,2023-05-24,0,1.0,1.0,579.92
CUST000002,1472.17,7,210.31,2024-03-18,2024-10-12,208,6.933333333333334,1.0096153846153846,1472.17
CUST000003,359.76,1,359.76,2023-10-21,2023-10-21,0,1.0,1.0,359.76
CUST000004,1633.92,8,204.24,2023-04-25,2023-12-04,223,7.433333333333334,1.0762331838565022,1633.92
CUST000005,209.94,2,104.97,2023-04-13,2023-06-02,50,1.6666666666666667,1.2,209.94
CUST000006,163.54,1,163.54,2024-12-20,2024-12-20,0,1.0,1.0,163.54
CUST000007,222.77,1,222.77,2023-03-06,2023-03-06,0,1.0,1.0,222.77
CUST000008,101.54,2,50.77,2024-10-17,2024-11-24,38,1.2666666666666666,1.5789473684210527,101.54
CUST000009,1404.8,5,280.96,2023-06-23,2023-09-23,92,3.066666666666667,1.6304347826086956,1404.8
CUST000010,1959.99,8,244.99875,2024-05-18,2024-12-21,217,7.233333333333333,1.1059907834101383,1959.99
CUST000011,2631.36,6,438.56,2023-08-18,2024-03-23,218,7.266666666666667,0.8256880733944955,2631.36
CUST000012,2397.87,10,239.78699999999998,2024-01-23,2024-12-30,342,11.4,0.8771929824561403,2397.87
CUST000013,3106.32,10,310.632,2024-04-14,2024-12-14,244,8.133333333333333,1.2295081967213115,3106.32
CUST000014,86.16,1,86.16,2023-05-16,2023-05-16,0,1.0,1.0,86.16
CUST000015,1165.46,3,388.4866666666667,2024-02-10,2024-04-26,76,2.533333333333333,1.1842105263157896,1165.46
CUST000016,613.4,1,613.4,2023-04-24,2023-04-24,0,1.0,1.0,613.4
CUST000017,1323.55,3,441.18333333333334,2024-11-25,2024-12-28,33,1.1,2.727272727272727,1323.5500000000002
CUST000018,2845.48,9,316.1644444444444,2023-05-26,2024-03-29,308,10.266666666666667,0.8766233766233765,2845.4799999999996
CUST000019,300.66,1,300.66,2024-12-04,2024-12-04,0,1.0,1.0,300.66
CUST000020,733.2199999999999,2,366.60999999999996,2023-12-14,2024-01-05,22,1.0,2.0,733.2199999999999
CUST000021,1512.8200000000002,2,756.4100000000001,2024-01-17,2024-02-28,42,1.4,1.4285714285714286,1512.8200000000002
CUST000022,2173.6800000000003,7,310.52571428571434,2024-05-20,2024-10-29,162,5.4,1.2962962962962963,2173.6800000000007
CUST000023,1217.43,3,405.81,2024-03-09,2024-05-21,73,2.433333333333333,1.2328767123287672,1217.43
CUST000024,1626.3400000000001,10,162.63400000000001,2024-02-28,2024-12-27,303,10.1,0.9900990099009901,1626.3400000000001
CUST000025,1910.1,4,477.525,2023-07-30,2023-11-12,105,3.5,1.1428571428571428,1910.1
CUST000026,287.57,2,143.785,2023-11-20,2023-12-30,40,1.3333333333333333,1.5,287.57
CUST000027,1291.37,6,215.22833333333332,2023-08-01,2023-12-21,142,4.733333333333333,1.267605633802817,1291.3700000000001
CUST000028,352.08,1,352.08,2024-04-19,2024-04-19,0,1.0,1.0,352.08
CUST000029,1762.1299999999999,5,352.426,2023-12-30,2024-06-24,177,5.9,0.847457627118644,1762.13
CUST000030,48.61,1,48.61,2023-02-12,2023-02-12,0,1.0,1.0,48.61
CUST000031,728.21,4,182.0525,2023-11-06,2024-02-16,102,3.4,1.1764705882352942,728.21
CUST000032,1033.24,2,516.62,2024-08-12,2024-09-15,34,1.1333333333333333,1.7647058823529411,1033.24
CUST000033,1649.59,6,274.9316666666667,2024-05-08,2024-12-10,216,7.2,0.8333333333333333,1649.59
CUST000034,973.44,3,324.48,2023-04-03,2023-06-29,87,2.9,1.0344827586206897,973.44
CUST000035,614.85,3,204.95000000000002,2024-06-24,2024-09-23,91,3.033333333333333,0.989010989010989,614.85
CUST000036,458.66,1,458.66,2024-12-29,2024-12-29,0,1.0,1.0,458.66
CUST000037,1850.51,5,370.102,2024-05-23,2024-09-15,115,3.8333333333333335,1.3043478260869565,1850.51
CUST000038,130.83,1,130.83,2024-12-19,2024-12-19,0,1.0,1.0,130.83
CUST000039,1279.6399999999999,2,639.8199999999999,2023-08-29,2023-09-15,17,1.0,2.0,1279.6399999999999
CUST000040,175.35,1,175.35,2024-12-13,2024-12-13,0,1.0,1.0,175.35
CUST000041,183.55,1,183.55,2024-07-24,2024-07-24,0,1.0,1.0,183.55
CUST000042,877.98,2,438.99,2024-09-09,2024-10-11,32,1.0666666666666667,1.875,877.98
CUST000043,68.42,1,68.42,2023-09-19,2023-09-19,0,1.0,1.0,68.42
CUST000044,1216.68,4,304.17,2024-06-04,2024-11-09,158,5.266666666666667,0.759493670886076,1216.68
CUST000045,554.46,2,277.23,2023-07-08,2023-08-02,25,1.0,2.0,554.46
