cohort_month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-01,159.0,69.0,83.0,57.0,52.0,36.0,41.0,28.0,24.0,21.0,11.0,10.0,5.0,4.0,3.0,2.0,2.0,2.0,1.0,,,,
2023-02,541.0,277.0,238.0,216.0,156.0,134.0,104.0,73.0,69.0,60.0,46.0,29.0,25.0,17.0,10.0,13.0,8.0,8.0,4.0,4.0,4.0,2.0,3.0
2023-03,851.0,411.0,409.0,317.0,251.0,194.0,140.0,121.0,83.0,70.0,56.0,40.0,38.0,31.0,23.0,15.0,15.0,11.0,7.0,9.0,5.0,5.0,
2023-04,797.0,406.0,382.0,306.0,253.0,194.0,156.0,126.0,96.0,81.0,59.0,53.0,39.0,29.0,31.0,27.0,19.0,16.0,13.0,10.0,9.0,,
2023-05,888.0,451.0,425.0,317.0,265.0,215.0,158.0,138.0,111.0,73.0,73.0,49.0,45.0,34.0,28.0,18.0,17.0,15.0,10.0,9.0,,,
2023-06,791.0,380.0,391.0,277.0,228.0,182.0,156.0,128.0,110.0,86.0,66.0,50.0,38.0,42.0,25.0,26.0,16.0,17.0,16.0,,,,
2023-07,886.0,425.0,443.0,300.0,249.0,211.0,160.0,117.0,93.0,87.0,67.0,60.0,38.0,43.0,28.0,22.0,30.0,16.0,,,,,
2023-08,837.0,430.0,427.0,352.0,267.0,210.0,183.0,141.0,114.0,94.0,78.0,43.0,42.0,31.0,26.0,24.0,21.0,,,,,,
2023-09,851.0,439.0,390.0,332.0,264.0,197.0,172.0,132.0,110.0,74.0,81.0,61.0,44.0,36.0,27.0,20.0,,,,,,,
2023-10,833.0,423.0,384.0,316.0,237.0,189.0,169.0,128.0,103.0,78.0,64.0,58.0,42.0,31.0,29.0,,,,,,,,
2023-11,835.0,459.0,413.0,338.0,273.0,210.0,178.0,136.0,119.0,93.0,74.0,59.0,49.0,44.0,,,,,,,,,
2023-12,792.0,415.0,383.0,302.0,263.0,193.0,162.0,139.0,103.0,81.0,50.0,53.0,40.0,,,,,,,,,,
2024-01,825.0,405.0,427.0,321.0,265.0,212.0,147.0,131.0,105.0,89.0,73.0,63.0,,,,,,,,,,,
2024-02,811.0,420.0,407.0,318.0,237.0,212.0,166.0,115.0,107.0,83.0,65.0,,,,,,,,,,,,
2024-03,826.0,424.0,418.0,317.0,244.0,191.0,144.0,126.0,92.0,75.0,,,,,,,,,,,,,
2024-04,801.0,418.0,401.0,325.0,273.0,229.0,191.0,142.0,133.0,,,,,,,,,,,,,,
2024-05,830.0,388.0,428.0,311.0,235.0,215.0,143.0,126.0,,,,,,,,,,,,,,,
2024-06,839.0,414.0,395.0,285.0,254.0,201.0,159.0,,,,,,,,,,,,,,,,
2024-07,847.0,435.0,381.0,327.0,261.0,205.0,,,,,,,,,,,,,,,,,
2024-08,891.0,436.0,471.0,346.0,258.0,,,,,,,,,,,,,,,,,,
2024-09,818.0,425.0,399.0,301.0,,,,,,,,,,,,,,,,,,,
2024-10,842.0,407.0,396.0,,,,,,,,,,,,,,,,,,,,
2024-11,856.0,436.0,,,,,,,,,,,,,,,,,,,,,
2024-12,829.0,,,,,,,,,,,,,,,,,,,,,,
