cohort_month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-01,100.0,43.4,52.2,35.8,32.7,22.6,25.8,17.599999999999998,15.1,13.200000000000001,6.9,6.3,3.1,2.5,1.9,1.3,1.3,1.3,0.6,,,,
2023-02,100.0,51.2,44.0,39.900000000000006,28.799999999999997,24.8,19.2,13.5,12.8,11.1,8.5,5.4,4.6,3.1,1.7999999999999998,2.4,1.5,1.5,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.4,0.6
2023-03,100.0,48.3,48.1,37.3,29.5,22.8,16.5,14.2,9.8,8.200000000000001,6.6000000000000005,4.7,4.5,3.5999999999999996,2.7,1.7999999999999998,1.7999999999999998,1.3,0.8,1.0999999999999999,0.6,0.6,
2023-04,100.0,50.9,47.9,38.4,31.7,24.3,19.6,15.8,12.0,10.2,7.3999999999999995,6.6000000000000005,4.9,3.5999999999999996,3.9,3.4000000000000004,2.4,2.0,1.6,1.3,1.0999999999999999,,
2023-05,100.0,50.8,47.9,35.699999999999996,29.799999999999997,24.2,17.8,15.5,12.5,8.200000000000001,8.200000000000001,5.5,5.1,3.8,3.2,2.0,1.9,1.7000000000000002,1.0999999999999999,1.0,,,
2023-06,100.0,48.0,49.4,35.0,28.799999999999997,23.0,19.7,16.2,13.900000000000002,10.9,8.3,6.3,4.8,5.3,3.2,3.3000000000000003,2.0,2.1,2.0,,,,
2023-07,100.0,48.0,50.0,33.900000000000006,28.1,23.799999999999997,18.099999999999998,13.200000000000001,10.5,9.8,7.6,6.800000000000001,4.3,4.9,3.2,2.5,3.4000000000000004,1.7999999999999998,,,,,
2023-08,100.0,51.4,51.0,42.1,31.900000000000002,25.1,21.9,16.8,13.600000000000001,11.200000000000001,9.3,5.1,5.0,3.6999999999999997,3.1,2.9000000000000004,2.5,,,,,,
2023-09,100.0,51.6,45.800000000000004,39.0,31.0,23.1,20.200000000000003,15.5,12.9,8.7,9.5,7.199999999999999,5.2,4.2,3.2,2.4,,,,,,,
2023-10,100.0,50.8,46.1,37.9,28.499999999999996,22.7,20.3,15.4,12.4,9.4,7.7,7.000000000000001,5.0,3.6999999999999997,3.5000000000000004,,,,,,,,
2023-11,100.0,55.00000000000001,49.5,40.5,32.7,25.1,21.3,16.3,14.299999999999999,11.1,8.9,7.1,5.8999999999999995,5.3,,,,,,,,,
2023-12,100.0,52.400000000000006,48.4,38.1,33.2,24.4,20.5,17.599999999999998,13.0,10.2,6.3,6.7,5.1,,,,,,,,,,
2024-01,100.0,49.1,51.800000000000004,38.9,32.1,25.7,17.8,15.9,12.7,10.8,8.799999999999999,7.6,,,,,,,,,,,
2024-02,100.0,51.800000000000004,50.2,39.2,29.2,26.1,20.5,14.2,13.200000000000001,10.2,8.0,,,,,,,,,,,,
2024-03,100.0,51.300000000000004,50.6,38.4,29.5,23.1,17.4,15.299999999999999,11.1,9.1,,,,,,,,,,,,,
2024-04,100.0,52.2,50.1,40.6,34.1,28.599999999999998,23.799999999999997,17.7,16.6,,,,,,,,,,,,,,
2024-05,100.0,46.7,51.6,37.5,28.299999999999997,25.900000000000002,17.2,15.2,,,,,,,,,,,,,,,
2024-06,100.0,49.3,47.099999999999994,34.0,30.3,24.0,19.0,,,,,,,,,,,,,,,,
2024-07,100.0,51.4,45.0,38.6,30.8,24.2,,,,,,,,,,,,,,,,,
2024-08,100.0,48.9,52.900000000000006,38.800000000000004,28.999999999999996,,,,,,,,,,,,,,,,,,
2024-09,100.0,52.0,48.8,36.8,,,,,,,,,,,,,,,,,,,
2024-10,100.0,48.3,47.0,,,,,,,,,,,,,,,,,,,,
2024-11,100.0,50.9,,,,,,,,,,,,,,,,,,,,,
2024-12,100.0,,,,,,,,,,,,,,,,,,,,,,
